author,comment,likes,published_at
@eggyfirdian8706,"BANYAK AMAT TUNTUTAN NYA YA. PADAHAL SATU TUNTUTAN AJA UDAH CUKUP MEWAKILI SEMUA TUNTUTAN ITU YAITU ""HUKUM MATI KORUPTOR"". DARI SINI LAH NEGARA BISA MAJU KE DEPANNYA DAN SEMUA YANG JADI TUNTUTAN ITU BAKAL DIJAWAB DENGAN BERJALAN NYA WAKTU KE DEPANNYA.",0,2025-09-02T01:06:58Z
@amiruddinamiruddin4140,"1. SAHKAN UNDANG2 SITA ASET KORUPTOR/DIMISKINKAN
2. CABUT TUNJANGAN dan TETAPKAN GAJI 4xUMR saja tanpa ada TUNJANGAN seperti DPR negara diluar negeri
3. PECAT ANGGOTA DPR yg MENYAKITI HATI RAKYAT termasuk JOGET JOGET dan JALAN2 ke LUAR NEGERI dgn alasan KUNKER
3. STOP ALASAN KUNKER KELUAR NEGERI
4. BUKA, TERIMA dan TINDAK LANJUTI KRITIKAN dari MAHASISWA dan RAKYAT
5. FUNGSI PENGAWASAN pada EXECUTIF harus di optimalkan.",1,2025-09-02T01:06:30Z
@parmayana4585,Apa ia DPR mau....???,1,2025-09-02T00:44:44Z
@arumgondangmanis4580,Hukum mati koruptor.,0,2025-09-02T00:44:09Z
@thebestmamita,"Jaman untuk susah percaya pd siapapun & apapun selain diri sendiri & Tuhan. 
😢",1,2025-09-02T00:43:20Z
@MinatoYondaime-v3f,"Pengen ngeliat revolusi prancis versi komoha , para elit politik ditangkep oleh rakyat lalu di guilotine didepan umun, sayangnya rakyat juga ga serius demonya ,cuman setengah setengah sehingga para koruptor akan kembali korupsi dan akan menindas rakyat lebih hebat lagi, pupus sudah harapan rakyat konoha.",2,2025-09-02T00:39:24Z
@lokogaming3439,Boikot PDI Dedy Sitorus menghina rakyat kenapa tidak di pecat,0,2025-09-02T00:36:32Z
@IndraRendra-k5i,17+8=KEBANGKITAN INDONESIA 👍,0,2025-09-02T00:14:51Z
@cheekbonesin4532,Setuju 👍💯,1,2025-09-02T00:08:10Z
@d3utomo,...+ Tangkap Pembuat Anarkis,1,2025-09-02T00:07:49Z
@bachtiarrifai4588,"Kok tuntutanx gak ada tranparansi di berbagai lini 
Padahal bumn merugi terus",0,2025-09-01T23:58:55Z
@marthauli,UU PERAMPASAN ASET itu paling ditakutkan oleh pimpinan Parpol,1,2025-09-01T23:53:30Z
@marthauli,Lanjutkan anak muda....Lanjutkan.... tuntutan ini....Lanjutkan,2,2025-09-01T23:50:45Z
@HeroPriyanto-q7k,👍🎉,0,2025-09-01T23:50:15Z
@FitriAllisan,"Pangkas gaji mreka krn yg skrg bedanya jomplang jauh dg UMR rakyat, wajibkan mreka bayar pajak krn selam ini mreka nda bayar pajak. Screening ketat melibatkan KPK dan PPATK. Perketat latar belakng anggota dewan entah itu pendidikan dn rekam jejaknyany jka tak kredibel dan akuntabilitas tak jelas  mumpuni berhentikan sj.Tak ad perlakuan istimewa  bg anggota dewan dan keluargnya d ruang publik.Selain UU perampasan aset koruptor juga tambahan hukuman mati buat terhukum koruptor berat , bobot kejahatan koruptor sama dg penghianat negara.Selain itu bg koruptor yg sdh bebas menjalankan masa tahanannya tidak boleh balik k partainy dan tdak bsa bekerja jd aparatur pemerintahan/ negara ,lembaga pemerintahan ,dan BUMN. Aturan partai trhdp anggotanya yg duduk d dewan hrs dikaji kembali kan selama ini pemberhentianny hrs melibatkan partai,mkny Ahmad Sahroni cs hanya bsa dinonaktifkan itupun lewat keputusan partai.Jika ingin anggota dewan bekerja demi rakyat maka ikut campurny partai hrs dibatasi krn anggota dewan hanya takut kpd partai yg bsa memecat mrka scr lngsung. Mnrtk yg bikin kacau negara in sumbernya adlah partai krn peran partai dlm pemerintahan aturannya msh ambigu dan DPR adlah wadah pusat semua partai    berkumpul krn lbh mengutamakan kepentingan partainya mkny kepentingan rakyat  diketepikan ini jg sebabnya kenapa UU aset koruptor tak prnh dsahkan oleh mereka.Seharsny kalo  mrka sdh duduk sbg anggota dewan maka partai dan kepentingan partai tak ad lagi hubungannya dg mereka mindsetnya bekerja hrus ditujukan utamnya hanya untuk rakyat bukan partai.Ak pribadi skeptis anggota yg ad skrg bsa melepaskan diri dr kepentingan partainy mkny yg diperlukan utk DPR bukan reformasi tapi rebuild bubarkan yg ada utk bentukan baru bangun kembali utk dikembalikan /murni k fungsi asal yaitu ada utk rakyat demi memenuhi keinginan ,kepentingan dan kesejahteraan rakyat.",1,2025-09-01T23:48:31Z
